interaction_id,customer_id,interaction_date,interaction_type,reason,sentiment,resolution_status,agent_id,duration_minutes,satisfaction_score
INT0000001,CUST003577,2022-10-12 13:00:00,Social Media,Return Request,Neutral,Closed,AGENT018,13,
INT0000002,CUST003875,2022-12-28 22:00:00,Email,Support,Positive,Resolved,AGENT012,21,5.0
INT0000003,CUST002050,2022-08-04 14:00:00,Phone Call,Support,Neutral,Closed,AGENT011,25,
INT0000004,CUST002187,2024-08-16 05:00:00,Store Visit,Return Request,Neutral,Resolved,AGENT050,11,4.0
INT0000005,CUST003062,2023-05-27 09:00:00,Store Visit,Support,Negative,Closed,AGENT011,34,
INT0000006,CUST001270,2023-02-22 22:00:00,Email,Support,Neutral,Escalated,AGENT017,15,4.0
INT0000007,CUST002178,2023-09-15 14:00:00,Social Media,Support,Negative,Closed,AGENT033,45,3.0
INT0000008,CUST000361,2024-07-23 11:00:00,Store Visit,Inquiry,Positive,Resolved,AGENT024,45,1.0
INT0000009,CUST001435,2022-10-31 22:00:00,Email,Feedback,Negative,Pending,AGENT009,37,4.0
INT0000010,CUST004357,2022-11-01 17:00:00,Store Visit,Return Request,Positive,Pending,AGENT003,16,
INT0000011,CUST003736,2023-10-29 12:00:00,Email,Feedback,Negative,Closed,AGENT018,38,
INT0000012,CUST004014,2023-07-20 11:00:00,Social Media,Inquiry,Positive,Pending,AGENT029,37,
INT0000013,CUST004918,2023-01-02 10:00:00,Chat,Support,Negative,Resolved,AGENT024,9,4.0
INT0000014,CUST001800,2023-02-19 10:00:00,Phone Call,Support,Neutral,Resolved,AGENT008,29,1.0
INT0000015,CUST002015,2023-01-05 04:00:00,Email,Return Request,Positive,Closed,AGENT005,28,
INT0000016,CUST001630,2024-05-31 22:00:00,Chat,Inquiry,Negative,Pending,AGENT009,17,5.0
INT0000017,CUST003030,2023-10-01 07:00:00,Social Media,Support,Positive,Pending,AGENT005,22,2.0
INT0000018,CUST003706,2022-09-28 17:00:00,Chat,Return Request,Positive,Pending,AGENT020,37,
INT0000019,CUST004133,2024-04-05 16:00:00,Phone Call,Inquiry,Negative,Pending,AGENT010,42,4.0
INT0000020,CUST000839,2024-06-28 16:00:00,Social Media,Inquiry,Positive,Closed,AGENT031,39,3.0
INT0000021,CUST003278,2022-08-24 06:00:00,Phone Call,Inquiry,Positive,Resolved,AGENT042,31,3.0
INT0000022,CUST000416,2023-09-29 14:00:00,Social Media,Support,Neutral,Closed,AGENT023,29,3.0
INT0000023,CUST001575,2023-05-11 21:00:00,Phone Call,Return Request,Negative,Resolved,AGENT006,29,1.0
INT0000024,CUST001522,2023-08-19 10:00:00,Phone Call,Feedback,Negative,Escalated,AGENT033,6,1.0
INT0000025,CUST004296,2022-01-11 01:00:00,Chat,Complaint,Positive,Pending,AGENT038,39,
INT0000026,CUST002162,2023-08-03 15:00:00,Phone Call,Feedback,Negative,Escalated,AGENT013,6,3.0
INT0000027,CUST002584,2022-07-03 11:00:00,Social Media,Inquiry,Negative,Escalated,AGENT037,45,4.0
INT0000028,CUST004084,2024-09-17 07:00:00,Phone Call,Support,Neutral,Resolved,AGENT021,13,4.0
INT0000029,CUST003668,2022-08-15 19:00:00,Chat,Return Request,Positive,Escalated,AGENT019,25,2.0
INT0000030,CUST001504,2024-09-05 04:00:00,Phone Call,Complaint,Negative,Pending,AGENT007,27,3.0
INT0000031,CUST002767,2023-07-09 23:00:00,Store Visit,Support,Negative,Resolved,AGENT034,25,
INT0000032,CUST000177,2023-01-29 18:00:00,Email,Complaint,Positive,Pending,AGENT048,43,1.0
INT0000033,CUST003537,2023-10-21 05:00:00,Email,Feedback,Negative,Resolved,AGENT025,10,4.0
INT0000034,CUST004399,2022-03-13 11:00:00,Chat,Support,Negative,Closed,AGENT050,27,3.0
INT0000035,CUST001426,2023-08-21 16:00:00,Chat,Inquiry,Negative,Pending,AGENT046,4,4.0
INT0000036,CUST000392,2022-08-09 12:00:00,Phone Call,Feedback,Negative,Closed,AGENT046,20,
INT0000037,CUST001462,2024-02-04 14:00:00,Chat,Inquiry,Positive,Closed,AGENT016,3,4.0
INT0000038,CUST003027,2024-01-04 02:00:00,Store Visit,Support,Negative,Resolved,AGENT045,16,1.0
INT0000039,CUST004514,2023-05-07 07:00:00,Social Media,Feedback,Neutral,Closed,AGENT014,17,
INT0000040,CUST004751,2024-03-24 23:00:00,Email,Inquiry,Negative,Escalated,AGENT028,43,3.0
INT0000041,CUST003316,2024-08-31 08:00:00,Email,Feedback,Neutral,Escalated,AGENT029,24,5.0
INT0000042,CUST000477,2022-11-16 11:00:00,Phone Call,Return Request,Neutral,Escalated,AGENT028,18,5.0
INT0000043,CUST000788,2023-02-25 16:00:00,Store Visit,Feedback,Negative,Pending,AGENT034,29,2.0
INT0000044,CUST004266,2023-03-13 07:00:00,Phone Call,Return Request,Negative,Pending,AGENT033,31,
INT0000045,CUST000585,2023-09-26 01:00:00,Chat,Inquiry,Positive,Pending,AGENT039,15,
INT0000046,CUST000288,2023-12-03 05:00:00,Chat,Inquiry,Positive,Escalated,AGENT049,18,
INT0000047,CUST000952,2024-06-01 22:00:00,Email,Complaint,Positive,Resolved,AGENT049,4,3.0
INT0000048,CUST002505,2022-12-06 23:00:00,Email,Inquiry,Negative,Pending,AGENT008,39,1.0
INT0000049,CUST000818,2024-03-01 11:00:00,Social Media,Complaint,Positive,Escalated,AGENT048,35,2.0
INT0000050,CUST001311,2022-11-04 14:00:00,Store Visit,Return Request,Negative,Resolved,AGENT039,7,4.0
INT0000051,CUST001165,2023-09-25 07:00:00,Phone Call,Complaint,Neutral,Escalated,AGENT032,40,3.0
INT0000052,CUST002649,2024-05-01 18:00:00,Phone Call,Support,Positive,Closed,AGENT050,24,1.0
INT0000053,CUST003082,2022-09-12 09:00:00,Social Media,Inquiry,Neutral,Pending,AGENT034,24,2.0
INT0000054,CUST003960,2023-05-28 09:00:00,Email,Complaint,Negative,Pending,AGENT010,30,4.0
INT0000055,CUST001634,2022-10-10 01:00:00,Email,Complaint,Neutral,Resolved,AGENT030,27,
INT0000056,CUST000765,2022-07-31 11:00:00,Email,Support,Negative,Closed,AGENT034,34,1.0
INT0000057,CUST000674,2023-09-05 19:00:00,Social Media,Feedback,Negative,Resolved,AGENT031,35,3.0
INT0000058,CUST004544,2024-08-22 20:00:00,Email,Inquiry,Positive,Resolved,AGENT026,32,4.0
INT0000059,CUST003271,2024-02-08 14:00:00,Social Media,Support,Negative,Resolved,AGENT047,28,
INT0000060,CUST002433,2023-12-26 16:00:00,Email,Return Request,Negative,Pending,AGENT006,5,4.0
INT0000061,CUST002460,2023-11-07 21:00:00,Social Media,Support,Neutral,Closed,AGENT012,40,
INT0000062,CUST002496,2022-01-25 16:00:00,Chat,Return Request,Positive,Resolved,AGENT040,34,4.0
INT0000063,CUST003588,2023-08-23 03:00:00,Chat,Feedback,Neutral,Escalated,AGENT033,4,3.0
INT0000064,CUST003557,2022-11-24 00:00:00,Chat,Complaint,Negative,Escalated,AGENT035,9,3.0
INT0000065,CUST003197,2023-02-20 20:00:00,Chat,Complaint,Neutral,Closed,AGENT038,20,3.0
INT0000066,CUST001999,2023-12-22 04:00:00,Email,Inquiry,Negative,Resolved,AGENT016,7,
INT0000067,CUST001355,2022-12-15 09:00:00,Phone Call,Return Request,Positive,Escalated,AGENT035,28,2.0
INT0000068,CUST002054,2023-07-03 16:00:00,Store Visit,Complaint,Positive,Resolved,AGENT005,20,
INT0000069,CUST003990,2022-11-21 10:00:00,Store Visit,Support,Negative,Pending,AGENT034,5,
INT0000070,CUST003844,2022-04-30 09:00:00,Social Media,Feedback,Positive,Resolved,AGENT002,9,4.0
INT0000071,CUST000110,2024-01-16 03:00:00,Chat,Support,Negative,Pending,AGENT012,7,4.0
INT0000072,CUST001691,2023-12-09 09:00:00,Email,Inquiry,Neutral,Resolved,AGENT043,41,5.0
INT0000073,CUST001278,2023-07-29 20:00:00,Store Visit,Support,Positive,Resolved,AGENT037,15,1.0
INT0000074,CUST004709,2023-05-17 18:00:00,Email,Return Request,Negative,Closed,AGENT032,26,3.0
INT0000075,CUST004215,2024-02-24 06:00:00,Email,Complaint,Positive,Resolved,AGENT022,34,2.0
INT0000076,CUST003336,2022-01-05 21:00:00,Social Media,Feedback,Neutral,Closed,AGENT016,11,5.0
INT0000077,CUST003262,2023-09-27 19:00:00,Store Visit,Support,Neutral,Closed,AGENT009,32,
INT0000078,CUST001123,2024-09-03 17:00:00,Email,Return Request,Neutral,Pending,AGENT047,32,1.0
INT0000079,CUST002064,2022-09-07 17:00:00,Chat,Complaint,Positive,Closed,AGENT032,25,2.0
INT0000080,CUST000305,2024-01-28 09:00:00,Email,Inquiry,Negative,Closed,AGENT005,2,1.0
INT0000081,CUST000251,2023-06-11 06:00:00,Social Media,Complaint,Positive,Pending,AGENT011,21,1.0
INT0000082,CUST003402,2023-09-10 14:00:00,Social Media,Inquiry,Negative,Escalated,AGENT005,26,
INT0000083,CUST004717,2022-01-18 00:00:00,Phone Call,Support,Negative,Closed,AGENT039,41,2.0
INT0000084,CUST000037,2022-10-30 23:00:00,Chat,Inquiry,Positive,Resolved,AGENT030,3,4.0
INT0000085,CUST003920,2023-12-28 00:00:00,Phone Call,Inquiry,Negative,Resolved,AGENT006,44,
INT0000086,CUST004783,2022-01-26 04:00:00,Chat,Complaint,Negative,Resolved,AGENT022,33,1.0
INT0000087,CUST004341,2024-07-05 02:00:00,Social Media,Complaint,Negative,Escalated,AGENT004,2,5.0
INT0000088,CUST000049,2022-11-06 06:00:00,Phone Call,Feedback,Neutral,Closed,AGENT026,44,2.0
INT0000089,CUST003679,2024-05-12 03:00:00,Email,Complaint,Neutral,Pending,AGENT041,28,4.0
INT0000090,CUST003244,2024-08-29 06:00:00,Social Media,Return Request,Neutral,Escalated,AGENT045,42,1.0
