interaction_id,customer_id,interaction_date,interaction_type,reason,agent_id,duration_minutes,resolution_status,satisfaction_score,notes
CRM0003473,CUST000782,2022-01-01,Social Media,Product Inquiry,AGENT012,29.0,Resolved,2.0,Customer satisfied
CRM0007495,CUST004383,2022-01-01,Email,General Question,AGENT044,25.0,Resolved,4.0,Complex issue
CRM0004333,CUST003049,2022-01-01,Phone Call,Technical Support,AGENT044,41.0,Resolved,,Resolved quickly
CRM0007068,CUST004993,2022-01-01,In-Person,General Question,AGENT023,33.0,Pending,4.0,
CRM0005688,CUST003171,2022-01-01,Phone Call,Order Status,AGENT020,6.0,Closed,2.0,Customer satisfied
CRM0006328,CUST000784,2022-01-02,Chat,Feedback,AGENT033,45.0,Resolved,,Customer satisfied
CRM0000761,CUST000348,2022-01-02,Phone Call,Technical Support,AGENT037,26.0,Pending,4.0,Customer satisfied
CRM0007035,CUST002496,2022-01-02,Chat,Return Request,AGENT019,28.0,Closed,,Resolved quickly
CRM0002147,CUST002007,2022-01-02,Email,Billing Issue,AGENT026,,Pending,,Issue escalated
CRM0002787,CUST002511,2022-01-03,In-Person,Return Request,AGENT050,51.0,Escalated,3.0,Complex issue
CRM0000614,CUST001281,2022-01-03,Chat,Billing Issue,AGENT039,59.0,Resolved,4.0,Follow-up needed
CRM0001470,CUST004241,2022-01-03,Email,Order Status,AGENT016,50.0,Resolved,4.0,Customer satisfied
CRM0002902,CUST003640,2022-01-03,Email,Billing Issue,AGENT039,41.0,Closed,3.0,Follow-up needed
CRM0001591,CUST003598,2022-01-04,Chat,Billing Issue,AGENT031,35.0,Escalated,4.0,Issue escalated
CRM0004975,CUST001546,2022-01-04,Phone Call,Technical Support,AGENT040,15.0,Pending,,
CRM0005858,CUST001295,2022-01-04,In-Person,Billing Issue,AGENT008,2.0,Resolved,4.0,Complex issue
CRM0007366,CUST003287,2022-01-04,Chat,General Question,AGENT009,50.0,Resolved,5.0,Issue escalated
CRM0001474,CUST001105,2022-01-04,Phone Call,Product Inquiry,AGENT046,29.0,Resolved,4.0,
CRM0005324,CUST003072,2022-01-04,Email,Billing Issue,AGENT020,18.0,Resolved,,Follow-up needed
CRM0006770,CUST004133,2022-01-04,In-Person,Return Request,AGENT031,,Resolved,5.0,
CRM0007713,CUST003704,2022-01-04,Social Media,General Question,AGENT032,,Resolved,3.0,
CRM0005679,CUST001542,2022-01-04,In-Person,Technical Support,AGENT040,45.0,Pending,4.0,
CRM0003621,CUST004660,2022-01-04,Chat,Complaint,AGENT003,20.0,Resolved,3.0,Customer satisfied
CRM0005821,CUST002170,2022-01-05,In-Person,Technical Support,AGENT016,,Resolved,,Resolved quickly
CRM0006719,CUST002960,2022-01-05,Phone Call,Return Request,AGENT025,6.0,Resolved,4.0,
CRM0006266,CUST004220,2022-01-05,Chat,Feedback,AGENT042,27.0,Escalated,4.0,Complex issue
CRM0000771,CUST002543,2022-01-05,In-Person,General Question,AGENT032,34.0,Pending,3.0,Issue escalated
CRM0005137,CUST002079,2022-01-05,Chat,Complaint,AGENT020,47.0,Pending,4.0,Issue escalated
CRM0005546,CUST003671,2022-01-05,Chat,General Question,AGENT007,55.0,Pending,3.0,Issue escalated
CRM0003249,CUST004555,2022-01-05,Phone Call,Complaint,AGENT025,27.0,Closed,5.0,Complex issue
CRM0002534,CUST000458,2022-01-05,Chat,Feedback,AGENT001,8.0,Closed,1.0,Resolved quickly
CRM0004870,CUST004964,2022-01-06,Chat,Return Request,AGENT047,18.0,Resolved,3.0,Customer satisfied
CRM0007506,CUST004604,2022-01-06,Chat,General Question,AGENT003,5.0,Pending,,Follow-up needed
CRM0000608,CUST000541,2022-01-06,Chat,Return Request,AGENT007,46.0,Pending,3.0,
CRM0002214,CUST001120,2022-01-06,Social Media,Complaint,AGENT013,,Resolved,3.0,Resolved quickly
CRM0002034,CUST001252,2022-01-06,Social Media,Complaint,AGENT023,54.0,Resolved,2.0,Customer satisfied
CRM0001874,CUST004189,2022-01-06,Chat,Order Status,AGENT006,27.0,Closed,3.0,
CRM0000822,CUST002510,2022-01-06,Email,Complaint,AGENT025,38.0,Resolved,,Customer satisfied
CRM0004623,CUST000647,2022-01-06,Social Media,Billing Issue,AGENT026,50.0,Closed,4.0,Complex issue
CRM0000517,CUST004301,2022-01-07,Email,Product Inquiry,AGENT022,,Resolved,2.0,Customer satisfied
CRM0000130,CUST002818,2022-01-07,Social Media,Billing Issue,AGENT038,,Pending,,Customer satisfied
CRM0005065,CUST002710,2022-01-07,In-Person,Billing Issue,AGENT008,33.0,Resolved,3.0,
CRM0005485,CUST000346,2022-01-07,In-Person,Return Request,AGENT038,,Pending,4.0,Customer satisfied
CRM0007976,CUST004795,2022-01-08,Social Media,Billing Issue,AGENT025,54.0,Pending,3.0,Issue escalated
CRM0004892,CUST000764,2022-01-08,In-Person,Order Status,AGENT001,,Resolved,5.0,Complex issue
CRM0004820,CUST002126,2022-01-08,Email,General Question,AGENT020,38.0,Escalated,5.0,Issue escalated
CRM0004278,CUST001040,2022-01-08,In-Person,Order Status,AGENT009,,Resolved,5.0,Follow-up needed
CRM0001594,CUST003803,2022-01-08,Phone Call,Product Inquiry,AGENT039,5.0,Pending,4.0,Issue escalated
CRM0007562,CUST001298,2022-01-08,In-Person,Feedback,AGENT039,43.0,Resolved,3.0,Issue escalated
CRM0000859,CUST004025,2022-01-08,Social Media,General Question,AGENT026,,Resolved,4.0,Follow-up needed
CRM0005315,CUST004588,2022-01-09,Social Media,Technical Support,AGENT002,46.0,Resolved,5.0,Complex issue
CRM0001528,CUST003914,2022-01-09,Social Media,Billing Issue,AGENT008,19.0,Pending,4.0,Resolved quickly
CRM0000803,CUST003833,2022-01-09,Social Media,Product Inquiry,AGENT018,22.0,Pending,3.0,Resolved quickly
CRM0003870,CUST002208,2022-01-09,Email,Technical Support,AGENT011,39.0,Resolved,4.0,Resolved quickly
CRM0002473,CUST000473,2022-01-09,Chat,Complaint,AGENT002,54.0,Pending,2.0,Resolved quickly
CRM0003263,CUST002371,2022-01-09,Social Media,Complaint,AGENT001,19.0,Resolved,3.0,
CRM0001775,CUST003763,2022-01-09,Email,Feedback,AGENT044,,Resolved,4.0,Complex issue
CRM0001352,CUST000506,2022-01-09,Email,General Question,AGENT027,16.0,Resolved,,Complex issue
CRM0004728,CUST002881,2022-01-10,Email,Feedback,AGENT036,2.0,Escalated,5.0,Issue escalated
CRM0006859,CUST002875,2022-01-10,Social Media,Return Request,AGENT042,45.0,Pending,5.0,Complex issue
CRM0005102,CUST004359,2022-01-10,Email,Technical Support,AGENT002,54.0,Resolved,4.0,Issue escalated
CRM0002830,CUST003686,2022-01-10,Email,Feedback,AGENT018,46.0,Resolved,5.0,Follow-up needed
