event_id,customer_id,event_date,event_type,points_change,points_balance,tier,campaign_id,description
LOY00005503,CUST000001,2022-06-22,Points Earned,240,240,Gold,CAMP002,Event: Points Earned
LOY00007465,CUST000001,2023-10-10,Points Redeemed,-694,-454,Bronze,CAMP007,Event: Points Redeemed
LOY00003416,CUST000002,2023-04-10,Bonus Points,486,486,Silver,CAMP012,Event: Bonus Points
LOY00008214,CUST000002,2024-08-28,Points Earned,404,890,Bronze,CAMP018,Event: Points Earned
LOY00006263,CUST000002,2024-09-04,Points Redeemed,-726,164,Silver,,Event: Points Redeemed
LOY00011242,CUST000003,2022-05-01,Bonus Points,11,11,Bronze,,Event: Bonus Points
LOY00010117,CUST000003,2024-04-06,Birthday Bonus,249,260,Bronze,CAMP001,Event: Birthday Bonus
LOY00005622,CUST000004,2022-09-23,Points Redeemed,-553,-553,Gold,,Event: Points Redeemed
LOY00000007,CUST000005,2022-01-04,Points Earned,313,313,Gold,CAMP009,Event: Points Earned
LOY00013909,CUST000005,2022-01-09,Tier Downgraded,0,313,Bronze,CAMP016,Event: Tier Downgraded
LOY00013035,CUST000005,2024-05-29,Bonus Points,473,786,Bronze,,Event: Bonus Points
LOY00002821,CUST000005,2024-08-03,Tier Upgraded,0,786,Gold,CAMP016,Event: Tier Upgraded
LOY00007432,CUST000005,2024-10-04,Points Redeemed,-440,346,Bronze,,Event: Points Redeemed
LOY00014227,CUST000006,2022-06-14,Bonus Points,305,305,Silver,CAMP006,Event: Bonus Points
LOY00006266,CUST000006,2022-08-03,Points Earned,49,354,Silver,CAMP002,Event: Points Earned
LOY00007684,CUST000006,2023-04-04,Points Earned,166,520,Silver,,Event: Points Earned
LOY00014595,CUST000008,2022-05-07,Points Earned,372,372,Silver,,Event: Points Earned
LOY00008265,CUST000008,2022-06-09,Tier Upgraded,0,372,Silver,CAMP019,Event: Tier Upgraded
LOY00004183,CUST000008,2024-12-13,Points Earned,14,386,Bronze,,Event: Points Earned
LOY00007492,CUST000009,2023-04-28,Points Earned,139,139,Silver,CAMP001,Event: Points Earned
LOY00001416,CUST000009,2024-10-13,Points Earned,486,625,Bronze,CAMP003,Event: Points Earned
LOY00005649,CUST000010,2023-01-10,Points Earned,91,91,Silver,CAMP002,Event: Points Earned
LOY00012951,CUST000010,2023-05-21,Points Redeemed,-228,-137,Silver,,Event: Points Redeemed
LOY00005834,CUST000010,2023-09-23,Points Earned,445,308,Bronze,,Event: Points Earned
LOY00011778,CUST000010,2023-11-22,Tier Downgraded,0,308,Gold,,Event: Tier Downgraded
LOY00013082,CUST000010,2024-06-20,Tier Upgraded,0,308,Silver,CAMP009,Event: Tier Upgraded
LOY00003679,CUST000011,2022-07-22,Tier Upgraded,0,0,Bronze,,Event: Tier Upgraded
LOY00012846,CUST000011,2023-02-02,Points Redeemed,-308,-308,Bronze,,Event: Points Redeemed
LOY00006384,CUST000011,2023-02-15,Points Earned,221,-87,Bronze,CAMP010,Event: Points Earned
LOY00010139,CUST000011,2023-09-28,Referral Bonus,17,-70,Gold,CAMP018,Event: Referral Bonus
LOY00001979,CUST000011,2023-10-03,Points Redeemed,-356,-426,Silver,CAMP014,Event: Points Redeemed
